DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT,date,GPRD_MA30,GPRD_MA7,event,var_name,var_label
20170316,740,80.57597351074219,62.477294921875,81.89065551757812,2017-03-16,90.5548324584961,73.60733795166016,,,
20170317,751,97.03926849365234,87.94596862792969,95.36231231689453,2017-03-17,89.82748413085938,77.21234893798828,,,
20170318,836,91.13523864746094,86.90451049804688,105.435546875,2017-03-18,88.61844635009766,82.67403411865234,,,
20170319,431,99.91503143310547,122.59382629394531,115.03728485107422,2017-03-19,88.99822998046875,86.11869049072266,,,
20170320,542,140.57020568847656,134.04458618164062,121.97064971923828,2017-03-20,90.60894775390625,94.99010467529297,,,
20170321,571,81.21882629394531,46.26789855957031,106.12799072265625,2017-03-21,90.1474838256836,98.04523468017578,,,
20170322,635,156.499267578125,124.81403350830078,199.5388641357422,2017-03-22,91.6834945678711,106.70768737792969,,,
20170323,707,131.1907958984375,158.81277465820312,101.29716491699219,2017-03-23,91.41544342041016,113.9383773803711,,,
20170324,691,177.37338256835938,258.0724182128906,79.72514343261719,2017-03-24,94.15290832519531,125.41468048095703,,,
20170325,830,83.81195068359375,71.61769104003906,86.2856674194336,2017-03-25,94.95411682128906,124.36849212646484,,,
20170326,494,46.93921661376953,80.21955108642578,11.151837348937988,2017-03-26,93.49140167236328,116.80052185058594,,,
20170327,540,116.55330657958984,122.31005096435547,122.42239379882812,2017-03-27,95.92744445800781,113.36953735351562,,,
20170328,569,87.32604217529297,104.46868896484375,77.45529174804688,2017-03-28,97.2347183227539,114.24199676513672,,,
20170329,602,93.54426574707031,76.79933166503906,100.66293334960938,2017-03-29,97.64081573486328,105.24842071533203,,,
20170330,657,75.62940216064453,70.37016296386719,83.8509521484375,2017-03-30,97.84281921386719,97.31108093261719,,,
20170331,701,118.13721466064453,141.3282928466797,78.58783721923828,2017-03-31,97.44403076171875,88.84877014160156,,,
20170401,799,66.33427429199219,41.33130645751953,75.84365844726562,2017-04-01,95.83708953857422,86.35195922851562,,,
20170402,438,68.06645965576172,60.31727981567383,62.88821792602539,2017-04-02,95.94694519042969,89.3701400756836,,,
20170403,539,79.89495086669922,49.01478958129883,91.98713684082031,2017-04-03,98.06212615966797,84.13323211669922,,,
20170404,594,150.57125854492188,122.31005096435547,176.2140350341797,2017-04-04,99.01042175292969,93.16825866699219,,,
20170405,635,125.19940948486328,41.604679107666016,173.51205444335938,2017-04-05,99.27510070800781,97.69042205810547,,,
20170406,694,124.10195922851562,171.3045654296875,63.50440979003906,2017-04-06,98.68218994140625,104.61507415771484,,,
20170407,714,143.82296752929688,185.0067901611328,131.16685485839844,2017-04-07,99.77214050292969,108.28446960449219,,,
20170408,844,176.61795043945312,219.11468505859375,137.0724639892578,2017-04-08,101.55813598632812,124.03927612304688,,,
20170409,432,130.3556671142578,107.02128601074219,127.52332305908203,2017-04-09,103.50984954833984,132.937744140625,,,
20170410,540,134.95645141601562,159.00306701660156,122.42239379882812,2017-04-10,106.24494934082031,140.8036651611328,,,
20170411,579,97.26019287109375,91.25724029541016,114.17632293701172,2017-04-11,106.960205078125,133.18780517578125,,,
20170412,580,171.33970642089844,193.58729553222656,189.9657745361328,2017-04-12,110.05585479736328,139.77926635742188,,,
20170413,634,156.74610900878906,187.516357421875,147.71786499023438,2017-04-13,113.28629302978516,144.44271850585938,,,
20170414,588,123.9395980834961,78.62789154052734,140.53591918945312,2017-04-14,114.22221374511719,141.60223388671875,,,
20170415,725,118.7955322265625,81.98990631103516,151.97262573242188,2017-04-15,115.49620056152344,133.34188842773438,,,
20170416,423,86.14241790771484,31.228097915649414,130.23658752441406,2017-04-16,115.13296508789062,127.02571868896484,,,
20170417,505,111.51217651367188,91.55088806152344,109.0892562866211,2017-04-17,115.81220245361328,123.6765365600586,,,
20170418,559,106.6658706665039,59.076412200927734,137.97157287597656,2017-04-18,116.0372314453125,125.02020263671875,,,
20170419,628,152.96888732910156,136.72238159179688,175.44610595703125,2017-04-19,116.45051574707031,122.39579772949219,,,
20170420,630,178.77349853515625,73.38603210449219,279.8226013183594,2017-04-20,119.70233917236328,125.54257202148438,,,
20170421,608,130.75924682617188,86.90451049804688,154.0347442626953,2017-04-21,118.8443374633789,126.51680755615234,,,
20170422,728,127.40645599365234,163.3040771484375,90.80782318115234,2017-04-22,118.71819305419922,127.74693298339844,,,
20170423,402,41.20109176635742,65.71883392333984,41.111995697021484,2017-04-23,114.17911529541016,121.32674407958984,,,
20170424,557,142.7318115234375,118.57706451416016,158.24798583984375,2017-04-24,116.14311218261719,125.78669738769531,,,
20170425,643,61.82086181640625,61.63056945800781,51.405982971191406,2017-04-25,116.63916778564453,119.38026428222656,,,
20170426,647,92.1579818725586,61.249542236328125,102.17633819580078,2017-04-26,115.82598876953125,110.6929931640625,,,
20170427,634,104.49739837646484,93.7581787109375,104.27143859863281,2017-04-27,116.39836883544922,100.08212280273438,,,
20170428,734,126.36498260498047,116.97772979736328,142.60372924804688,2017-04-28,117.49239349365234,99.4543685913086,,,
20170429,788,84.0753173828125,58.671573638916016,111.85801696777344,2017-04-29,117.77392578125,93.26420593261719,,,
20170430,436,37.988162994384766,30.29698371887207,50.541351318359375,2017-04-30,115.10228729248047,92.80521392822266,,,
20170501,551,126.25030517578125,95.8946304321289,149.97299194335938,2017-05-01,117.0994873046875,90.45071411132812,,,
20170502,575,126.7417221069336,103.37857818603516,143.71324157714844,2017-05-02,119.05532836914062,99.72512817382812,,,
20170503,634,109.7222671508789,31.252727508544922,165.096435546875,2017-05-03,120.04957580566406,102.23430633544922,,,
20170504,725,95.95024108886719,127.53984832763672,60.7890510559082,2017-05-04,118.22887420654297,101.0132827758789,,,
20170505,738,76.30575561523438,44.74757766723633,89.57735443115234,2017-05-05,116.59908294677734,93.86196899414062,,,
20170506,806,69.86804962158203,98.3336410522461,68.34996795654297,2017-05-06,114.79129028320312,91.83235931396484,,,
20170507,451,22.034818649291992,43.93398666381836,24.43018913269043,2017-05-07,110.73168182373047,89.55330657958984,,,
20170508,546,72.8036880493164,48.38639450073242,90.80782318115234,2017-05-08,107.27120971679688,81.91807556152344,,,
20170509,596,77.81199645996094,77.57247924804688,64.70310974121094,2017-05-09,105.5197525024414,74.92811584472656,,,
20170510,561,123.99986267089844,117.7315902709961,127.65971374511719,2017-05-10,105.15453338623047,76.9677734375,,,
20170511,630,99.90283203125,104.83718872070312,87.44457244873047,2017-05-11,105.24262237548828,77.53243255615234,,,
20170512,671,78.98820495605469,49.215667724609375,98.52174377441406,2017-05-12,102.16423797607422,77.91563415527344,,,
20170513,760,30.51049041748047,17.380901336669922,43.492164611816406,2017-05-13,97.95638275146484,72.29312896728516,,,
20170514,440,37.64281463623047,45.0323371887207,37.56141662597656,2017-05-14,95.07982635498047,74.52284240722656,,,
20170515,527,75.4284896850586,25.06543731689453,104.53524780273438,2017-05-15,93.6342544555664,74.89781188964844,,,
20170516,619,74.9207534790039,64.02012634277344,71.19880676269531,2017-05-16,93.26020050048828,74.48477935791016,,,
20170517,578,97.42845916748047,79.98823547363281,95.3115463256836,2017-05-17,92.79074096679688,70.6888656616211,,,
20170518,644,97.73103332519531,102.55811309814453,76.9892349243164,2017-05-18,92.49291229248047,70.37860870361328,,,
20170519,700,75.71583557128906,37.74138641357422,94.44012451171875,2017-05-19,89.91781616210938,69.91112518310547,,,
20170520,795,62.501277923583984,49.84711456298828,62.36612319946289,2017-05-20,86.04207611083984,74.48123931884766,,,
20170521,483,54.866546630859375,41.02324676513672,57.0290641784668,2017-05-21,83.51231384277344,76.9417724609375,,,
20170522,531,143.4822235107422,37.3149299621582,228.24514770507812,2017-05-22,84.04817962646484,86.66373443603516,,,
20170523,571,139.23226928710938,115.66975402832031,154.36798095703125,2017-05-23,87.31587982177734,95.85108947753906,,,
20170524,619,181.95040893554688,224.07041931152344,133.4977569580078,2017-05-24,88.6231689453125,107.9256591796875,,,
20170525,656,146.43972778320312,191.2958984375,117.57028198242188,2017-05-25,91.44379425048828,114.88404083251953,,,
20170526,638,218.0687255859375,289.8633117675781,172.6961669921875,2017-05-26,95.64082336425781,135.2201690673828,,,
20170527,770,150.57125854492188,214.439697265625,114.47288513183594,2017-05-27,97.17662048339844,147.8015899658203,,,
20170528,459,86.60308074951172,100.72592163085938,84.01536560058594,2017-05-28,95.8512191772461,152.33538818359375,,,
20170529,481,103.30252838134766,164.77528381347656,91.62590789794922,2017-05-29,96.49212646484375,146.59542846679688,,,
20170530,491,128.18490600585938,107.61292266845703,123.41972351074219,2017-05-30,99.49868774414062,145.01722717285156,,,
20170531,588,157.74131774902344,213.41856384277344,93.69061279296875,2017-05-31,100.54838562011719,141.5587921142578,,,
20170601,548,90.67247772216797,96.41960144042969,90.47640228271484,2017-06-01,99.34607696533203,133.592041015625,,,
20170602,561,88.57132720947266,47.09263610839844,117.83973693847656,2017-06-02,98.64104461669922,115.09241485595703,,,
20170603,738,80.7943344116211,89.49515533447266,74.64779663085938,2017-06-03,98.13584899902344,105.12428283691406,,,
20170604,463,85.85488891601562,142.65103149414062,47.594017028808594,2017-06-04,98.45415496826172,105.01739501953125,,,
20170605,491,276.6095275878906,430.4516906738281,123.41972351074219,2017-06-05,105.34553527832031,129.77554321289062,,,
20170606,583,227.27735900878906,339.8666687011719,179.53883361816406,2017-06-06,112.18695831298828,143.93161010742188,,,
20170607,633,245.9568328857422,333.8890380859375,165.3572540283203,2017-06-07,117.95872497558594,156.5338134765625,,,
20170608,670,182.93284606933594,236.58778381347656,164.44798278808594,2017-06-08,121.46275329589844,169.7138671875,,,
20170609,792,121.29351043701172,175.12576293945312,118.2489013671875,2017-06-09,121.37254333496094,174.3884735107422,,,
20170610,840,67.0400619506836,86.49067687988281,52.466739654541016,2017-06-10,120.27711486816406,172.42356872558594,,,
20170611,459,50.518463134765625,57.55766677856445,48.00878143310547,2017-06-11,119.328125,167.37551879882812,,,
20170612,550,144.54840087890625,156.11209106445312,150.24566650390625,2017-06-12,123.12938690185547,148.5096435546875,,,
20170613,588,107.03875732421875,101.09300231933594,112.42872619628906,2017-06-13,125.44258880615234,131.33270263671875,,,
20170614,642,77.39643859863281,72.01432800292969,94.39109802246094,2017-06-14,125.50818634033203,107.25263977050781,,,
20170615,644,108.01850891113281,112.81391906738281,102.6523208618164,2017-06-15,126.61144256591797,96.55059051513672,,,
20170616,690,105.61810302734375,86.14881896972656,127.74510955810547,2017-06-16,126.88442993164062,94.31124877929688,,,
20170617,789,71.37345123291016,83.71029663085938,62.84039306640625,2017-06-17,126.00584411621094,94.93030548095703,,,
20170618,443,97.20853424072266,104.36388397216797,87.04978942871094,2017-06-18,126.7222671508789,101.60031127929688,,,
20170619,523,171.01210021972656,252.5714111328125,115.86823272705078,2017-06-19,130.33929443359375,105.38084411621094,,,
20170620,584,204.19937133789062,237.4993133544922,160.3649444580078,2017-06-20,135.3170623779297,119.26093292236328,,,
20170621,680,180.24266052246094,165.11856079101562,210.63853454589844,2017-06-21,136.5424041748047,133.9532470703125,,,
20170622,693,210.32177734375,219.20501708984375,206.68716430664062,2017-06-22,138.9120635986328,148.5679931640625,,,
20170623,710,107.30852508544922,111.62945556640625,93.10999298095703,2017-06-23,136.4239959716797,148.8094940185547,,,
20170624,765,90.93323516845703,69.06920623779297,100.81844329833984,2017-06-24,134.5737762451172,151.60374450683594,,,
20170625,458,65.09412384033203,72.10417175292969,60.14200210571289,2017-06-25,129.47462463378906,147.01597595214844,,,
20170626,516,128.3940887451172,89.5992202758789,149.4691925048828,2017-06-26,128.73538208007812,140.9276885986328,,,
20170627,562,106.09647369384766,141.0265350341797,78.42003631591797,2017-06-27,129.38516235351562,126.9129867553711,,,
20170628,602,110.05207824707031,120.6846694946289,82.36058044433594,2017-06-28,129.6101531982422,116.88575744628906,,,
20170629,641,103.35624694824219,92.73429107666016,103.13274383544922,2017-06-29,128.78253173828125,101.60496520996094,,,
20170630,678,102.60165405273438,77.93206787109375,113.75531768798828,2017-06-30,126.94454193115234,100.93255615234375,,,
20170701,721,96.48255157470703,82.44477081298828,114.61180877685547,2017-07-01,127.1382064819336,101.7253189086914,,,
20170702,448,66.547119140625,73.7136459350586,61.48446273803711,2017-07-02,126.40406799316406,101.9328842163086,,,
20170703,522,120.5723876953125,63.263816833496094,147.75115966796875,2017-07-03,127.7300033569336,100.81549835205078,,,
20170704,510,77.9427719116211,0.0,129.62371826171875,2017-07-04,127.46626281738281,96.79354095458984,,,
20170705,555,208.90066528320312,95.20349884033203,287.8580627441406,2017-07-05,125.20930480957031,110.9147720336914,,,
20170706,617,177.17137145996094,96.34146118164062,267.8609924316406,2017-07-06,123.53910064697266,121.45978546142578,,,
20170707,687,115.72289276123047,67.29723358154297,152.3597412109375,2017-07-07,119.1979751586914,123.3342514038086,,,
20170708,724,100.65813446044922,45.61286163330078,136.9642791748047,2017-07-08,116.45548248291016,123.9307632446289,,,
20170709,439,113.18568420410156,60.17988967895508,150.58790588378906,2017-07-09,116.18521881103516,130.59341430664062,,,
20170710,507,98.00495910644531,52.10842514038086,130.39071655273438,2017-07-10,117.2173843383789,127.36949920654297,,,
20170711,530,112.50230407714844,62.308895111083984,135.12660217285156,2017-07-11,119.28351593017578,132.30657958984375,,,
20170712,598,94.16999053955078,77.31304168701172,119.76103973388672,2017-07-12,117.60423278808594,115.91647338867188,,,
20170713,658,55.37727355957031,50.18801498413086,58.60646057128906,2017-07-13,115.8821792602539,98.51731872558594,,,
