Date,Close,High,Low,Open,Volume
2020-05-11,23399.0,23399.0,22958.169921875,23399.0,0
2020-05-12,23399.0,23399.0,23010.283203125,23010.283203125,0
2020-05-13,23334.0,23334.0,22921.916015625,23334.0,0
2020-05-14,23334.0,23334.0,23020.53515625,23334.0,0
2020-05-15,23334.0,23334.0,22973.453125,23334.0,0
2020-05-18,23334.0,23334.0,22969.986328125,23334.0,0
2020-05-19,23334.0,23334.0,22743.736328125,23334.0,0
2020-05-20,23334.0,23334.0,22900.84765625,23334.0,0
2020-05-21,23334.0,23334.0,22876.626953125,22876.626953125,0
2020-05-22,23334.0,23334.0,22893.421875,23334.0,0
2020-05-25,23334.0,23334.0,22950.578125,23334.0,0
2020-05-26,23334.0,23334.0,22924.6015625,23334.0,0
2020-05-27,23312.0,23312.0,22936.86328125,23312.0,0
2020-05-28,23312.0,23312.0,22946.1640625,22946.1640625,0
2020-05-29,23309.0,23309.0,22802.01953125,23309.0,0
2020-06-01,23280.0,23280.0,22896.38671875,23280.0,0
2020-06-02,23264.0,23264.0,22849.904296875,23264.0,0
2020-06-03,23264.0,23264.0,22845.044921875,22845.044921875,0
2020-06-04,23264.0,23264.0,22860.146484375,22860.146484375,0
2020-06-05,23264.0,23264.0,22647.486328125,23264.0,0
2020-06-08,23264.0,23264.0,22898.962890625,23264.0,0
2020-06-09,23264.0,23264.0,22835.45703125,23264.0,0
2020-06-10,23264.0,23264.0,22737.43359375,23264.0,0
2020-06-11,23264.0,23264.0,22794.34765625,23264.0,0
2020-06-12,23264.0,23264.0,22855.55078125,23264.0,0
2020-06-15,23264.0,23264.0,22874.73046875,23264.0,0
2020-06-16,23264.0,23264.0,22689.353515625,23264.0,0
2020-06-17,23264.0,23264.0,22832.3984375,22959.83984375,0
2020-06-18,23264.0,23264.0,22841.740234375,23264.0,0
2020-06-19,23264.0,23264.0,22867.85546875,22962.876953125,0
2020-06-22,23264.0,23264.0,22856.58203125,23264.0,0
2020-06-23,23264.0,23264.0,22747.443359375,23264.0,0
2020-06-24,23264.0,23264.0,22807.79296875,23264.0,0
2020-06-25,23264.0,23264.0,22851.40625,22955.68359375,0
2020-06-26,23264.0,23264.0,22837.349609375,23264.0,0
2020-06-29,23210.0,23264.0,22862.79296875,23264.0,0
2020-06-30,23264.0,23264.0,22851.025390625,23264.0,0
2020-07-01,23264.0,23264.0,22787.490234375,23264.0,0
2020-07-02,23264.0,23264.0,22753.916015625,23264.0,0
2020-07-03,23202.0,23205.0,22927.296875,23202.0,0
2020-07-06,23199.0,23201.0,22847.810546875,23199.0,0
2020-07-07,23201.0,23203.0,22786.28515625,23201.0,0
2020-07-08,23180.0,23200.0,22833.76953125,23180.0,0
2020-07-09,23188.0,23192.0,22728.81640625,23188.0,0
2020-07-10,23184.0,23189.0,22815.169921875,22925.37890625,0
2020-07-13,22824.259765625,23264.0,22825.1171875,23264.0,0
2020-07-14,23179.0,23185.0,22791.32421875,23179.0,0
2020-07-15,23181.0,23185.0,22747.287109375,22747.287109375,0
2020-07-16,23183.0,23185.0,22886.27734375,23183.0,0
2020-07-17,23184.0,23191.0,22845.31640625,23184.0,0
2020-07-20,23191.0,23191.0,22816.94140625,23191.0,0
2020-07-21,23188.0,23188.0,22830.16796875,23188.0,0
2020-07-22,23180.0,23190.0,22648.4140625,23180.0,0
2020-07-23,23184.0,23182.0,22841.087890625,22841.087890625,0
2020-07-24,23180.0,23183.0,22781.572265625,23180.0,0
2020-07-27,23175.0,23185.0,22845.4453125,23175.0,0
