date,capital,ticker,so_lo,so_co_phieu,gia_hien_tai,so_tien_chi,ty_trong_goc_ppo,ty_trong_thuc_te,used_capital,cash_left,tracking_error
27/07/2026,100000000,VHC,2,200,53200.0,10640000.0,0.0569,0.1064,99954000.0,46000.0,0.5033
27/07/2026,100000000,VIX,2,200,11750.0,2350000.0,0.0158,0.0235,99954000.0,46000.0,0.5033
27/07/2026,100000000,VSC,1,100,12700.0,1270000.0,0.0084,0.0127,99954000.0,46000.0,0.5033
28/07/2026,100000000,BSI,1,100,26900.0,2690000.0,0.0202,0.0269,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,CTD,1,100,57600.0,5760000.0,0.0422,0.0576,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,DBC,1,100,16000.0,1600000.0,0.0134,0.016,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,DGW,2,200,33950.0,6790000.0,0.0428,0.0679,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,DXG,2,200,10250.0,2050000.0,0.02,0.0205,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,EIB,3,300,17350.0,5205000.0,0.0405,0.052,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,HAG,2,200,14000.0,2800000.0,0.019,0.028,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,HDC,4,400,11200.0,4480000.0,0.0409,0.0448,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,HDG,1,100,16100.000000000002,1610000.0000000002,0.0106,0.0161,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,IMP,3,300,35000.0,10500000.0,0.0947,0.105,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,KDC,2,200,48800.0,9760000.0,0.0532,0.0976,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,KDH,2,200,16950.0,3390000.0,0.0317,0.0339,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,MBB,1,100,22150.0,2215000.0,0.0158,0.0221,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,NLG,1,100,20600.0,2060000.0,0.0202,0.0206,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,PDR,4,400,11500.0,4600000.0,0.0422,0.046,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,TCH,6,600,11250.0,6750000.0,0.0658,0.0675,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,VCB,1,100,54100.0,5410000.0,0.0386,0.0541,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,VGC,2,200,35750.0,7150000.0,0.0527,0.0715,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,VHC,2,200,53800.0,10760000.0,0.0603,0.1076,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,VIX,2,200,12300.0,2460000.0,0.0161,0.0246,99340000.0,659999.9999999998,0.4909
28/07/2026,100000000,VSC,1,100,13000.0,1300000.0,0.0105,0.013,99340000.0,659999.9999999998,0.4909
