symbol,organ_name,com_type_code,icb_level,icb_code,icb_name
AFX,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,CT,3,5330,Phân phối thực phẩm & dược phẩm
AFX,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,CT,4,5337,Phân phối thực phẩm
AG1,Công ty Cổ phần 28.1,CT,1,3000,Hàng Tiêu dùng
AG1,Công ty Cổ phần 28.1,CT,2,3700,Hàng cá nhân & Gia dụng
AG1,Công ty Cổ phần 28.1,CT,3,3760,Hàng cá nhân
AG1,Công ty Cổ phần 28.1,CT,4,3763,Hàng May mặc
AGB,Công ty Cổ phần Bình Phú,CT,1,3000,Hàng Tiêu dùng
AGB,Công ty Cổ phần Bình Phú,CT,2,3700,Hàng cá nhân & Gia dụng
AGB,Công ty Cổ phần Bình Phú,CT,3,3760,Hàng cá nhân
AGB,Công ty Cổ phần Bình Phú,CT,4,3763,Hàng May mặc
AGE,Công ty Cổ phần Môi trường Đô thị An Giang,CT,1,2000,Công nghiệp
AGE,Công ty Cổ phần Môi trường Đô thị An Giang,CT,2,2700,Hàng & Dịch vụ Công nghiệp
AGE,Công ty Cổ phần Môi trường Đô thị An Giang,CT,3,2790,Tư vấn & Hỗ trợ Kinh doanh
AGE,Công ty Cổ phần Môi trường Đô thị An Giang,CT,4,2799,Chất thải & Môi trường
AGF,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,CT,1,3000,Hàng Tiêu dùng
AGF,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,CT,2,3500,Thực phẩm và đồ uống
AGF,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,CT,3,3570,Sản xuất thực phẩm
AGF,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang,CT,4,3573,Nuôi trồng nông & hải sản
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,CT,1,8000,Tài chính
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,CT,2,8600,Bất động sản
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,CT,3,8630,Bất động sản
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,CT,4,8633,Bất động sản
AGM,Công ty Cổ phần Xuất nhập khẩu An Giang,CT,1,3000,Hàng Tiêu dùng
AGM,Công ty Cổ phần Xuất nhập khẩu An Giang,CT,2,3500,Thực phẩm và đồ uống
AGM,Công ty Cổ phần Xuất nhập khẩu An Giang,CT,3,3570,Sản xuất thực phẩm
AGM,Công ty Cổ phần Xuất nhập khẩu An Giang,CT,4,3577,Thực phẩm
AGP,Công ty Cổ phần Dược phẩm AGIMEXPHARM,CT,1,4000,Dược phẩm và Y tế
AGP,Công ty Cổ phần Dược phẩm AGIMEXPHARM,CT,2,4500,Y tế
AGP,Công ty Cổ phần Dược phẩm AGIMEXPHARM,CT,3,4570,Dược phẩm
AGP,Công ty Cổ phần Dược phẩm AGIMEXPHARM,CT,4,4577,Dược phẩm
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,CK,1,8000,Tài chính
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,CK,2,8700,Dịch vụ tài chính
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,CK,3,8770,Dịch vụ tài chính
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,CK,4,8777,Môi giới chứng khoán
