time,usepuindxd,epu_log
2019-01-07,148.61,5.001325424770478
2019-01-08,259.25,5.557792847109637
2019-01-09,120.42,4.790985632036302
2019-01-10,148.84,5.002871903478422
2019-01-11,170.68,5.1397904583198
2019-01-14,223.58,5.40976929184218
2019-01-15,104.39,4.648133885420207
2019-01-16,173.46,5.155947025256309
2019-01-17,168.92,5.129425230065743
2019-01-18,154.17,5.038055889672248
2019-01-21,216.29,5.37662009980521
2019-01-22,107.95,4.681668156960816
2019-01-23,88.26,4.4802870038414015
2019-01-24,106.06,4.664004971708984
2019-01-25,105.17,4.655578088531937
2019-01-28,73.71,4.300138475201197
2019-01-29,62.53,4.135646441579207
2019-01-30,123.71,4.81794011687474
2019-01-31,126.24,4.838184857097564
2019-02-01,95.81,4.562367063662782
2019-02-11,59.53,4.086480387165299
2019-02-12,45.91,3.826682958261131
2019-02-13,93.01,4.532707014254376
2019-02-14,35.99,3.58324112209094
2019-02-15,55.54,4.017103481878653
2019-02-18,57.35,4.04917284357538
2019-02-19,79.79,4.379398183320189
2019-02-20,65.36,4.179910450551748
2019-02-21,87.44,4.470952843868283
2019-02-22,115.34,4.747884288187267
2019-02-25,84.03,4.431173877940127
2019-02-26,68.54,4.227417516446463
2019-02-27,128.81,4.858338450407997
2019-02-28,125.24,4.830231896458205
2019-03-01,110.76,4.707365698302761
2019-03-04,71.01,4.262820712194002
2019-03-05,138.38,4.930003524070665
2019-03-06,78.64,4.364880475838911
2019-03-07,138.86,4.933466231325127
2019-03-08,81.81,4.404399485525607
2019-03-11,161.35,5.083575918497971
2019-03-12,93.23,4.535069558308602
2019-03-13,81.38,4.399129542573544
2019-03-14,56.33,4.031227252906622
2019-03-15,66.48,4.196901150547193
2019-03-18,77.23,4.346787982581173
2019-03-19,82.83,4.416790314610172
2019-03-20,75.89,4.3292849234158215
2019-03-21,91.17,4.512725895596812
2019-03-22,83.99,4.430697744137536
2019-03-25,69.27,4.238011912034514
2019-03-26,78.28,4.360292142527875
2019-03-27,92.66,4.528936879988502
2019-03-28,53.74,3.984157603187345
2019-03-29,91.25,4.513602992462601
2019-04-01,117.34,4.765075703497714
2019-04-02,130.56,4.871832891215797
2019-04-03,81.95,4.406109305189839
2019-04-04,82.78,4.416186486320586
2019-04-05,50.15,3.915018514407945
2019-04-08,58.07,4.061649179383958
2019-04-09,60.19,4.09750622555968
2019-04-10,71.78,4.273605885719461
2019-04-11,54.57,3.9994842811981406
2019-04-12,75.79,4.327966357823938
2019-04-16,58.1,4.062165663857866
2019-04-17,63.24,4.146937012341271
2019-04-18,56.96,4.04234926710372
2019-04-19,48.34,3.878259375275337
