time,close,high,low,open,volume,fx_log_ret
2020-06-17,23264.0,23264.0,22832.3984375,22959.83984375,0.0,0.0
2020-06-18,23264.0,23264.0,22841.740234375,23264.0,0.0,0.0
2020-06-19,23264.0,23264.0,22867.85546875,22962.876953125,0.0,0.0
2020-06-22,23264.0,23264.0,22856.58203125,23264.0,0.0,0.0
2020-06-23,23264.0,23264.0,22747.443359375,23264.0,0.0,0.0
2020-06-24,23264.0,23264.0,22807.79296875,23264.0,0.0,0.0
2020-06-25,23264.0,23264.0,22851.40625,22955.68359375,0.0,0.0
2020-06-26,23264.0,23264.0,22837.349609375,23264.0,0.0,0.0
2020-06-29,23210.0,23264.0,22862.79296875,23264.0,0.0,-0.0023238810647631
2020-06-30,23264.0,23264.0,22851.025390625,23264.0,0.0,0.0023238810647632
2020-07-01,23264.0,23264.0,22787.490234375,23264.0,0.0,0.0
2020-07-02,23264.0,23264.0,22753.916015625,23264.0,0.0,0.0
2020-07-03,23202.0,23205.0,22927.296875,23202.0,0.0,-0.0026686194978938
2020-07-06,23199.0,23201.0,22847.810546875,23199.0,0.0,-0.0001293075582068
2020-07-07,23201.0,23203.0,22786.28515625,23201.0,0.0,8.620689660504872e-05
2020-07-08,23180.0,23200.0,22833.76953125,23180.0,0.0,-0.0009055432800075
2020-07-09,23188.0,23192.0,22728.81640625,23188.0,0.0,0.0003450655658808
2020-07-10,23184.0,23189.0,22815.169921875,22925.37890625,0.0,-0.0001725178991598
2020-07-13,22824.259765625,23264.0,22825.1171875,23264.0,0.0,-0.0156383904829889
2020-07-14,23179.0,23185.0,22791.32421875,23179.0,0.0,0.0154227012472024
2020-07-15,23181.0,23185.0,22747.287109375,22747.287109375,0.0,8.628127701637776e-05
2020-07-16,23183.0,23185.0,22886.27734375,23183.0,0.0,8.627383319981259e-05
2020-07-17,23184.0,23191.0,22845.31640625,23184.0,0.0,4.3134125570074186e-05
2020-07-20,23191.0,23191.0,22816.94140625,23191.0,0.0,0.0003018867947456
2020-07-21,23188.0,23188.0,22830.16796875,23188.0,0.0,-0.0001293688955857
2020-07-22,23180.0,23190.0,22648.4140625,23180.0,0.0,-0.0003450655658808
2020-07-23,23184.0,23182.0,22841.087890625,22841.087890625,0.0,0.0001725476667208
2020-07-24,23180.0,23183.0,22781.572265625,23180.0,0.0,-0.0001725476667208
2020-07-27,23175.0,23185.0,22845.4453125,23175.0,0.0,-0.0002157264596868
2020-07-28,23181.0,23195.0,22762.05859375,23181.0,0.0,0.0002588661676377
2020-07-29,23170.0,23179.0,22811.921875,23170.0,0.0,-0.0004746391752716
2020-07-30,23175.0,23176.0,22773.7109375,23175.0,0.0,0.0002157730076339
2020-07-31,23175.0,23177.0,22610.673828125,22610.673828125,0.0,0.0
2020-08-03,23170.0,23176.0,22820.130859375,23170.0,0.0,-0.0002157730076339
2020-08-04,23170.0,23176.0,22780.0390625,22780.0390625,0.0,0.0
2020-08-05,23175.0,23175.0,22760.48828125,22760.48828125,0.0,0.0002157730076339
2020-08-06,23174.0,23175.0,22850.3828125,23174.0,0.0,-4.315087704828573e-05
2020-08-07,23173.0,23175.0,22774.94921875,23173.0,0.0,-4.315273912685833e-05
2020-08-10,22903.845703125,23175.0,22834.646484375,23173.0,0.0,-0.0116829767407125
2020-08-11,23170.0,23174.0,22850.498046875,23170.0,0.0,0.0115535073492536
