time,day,n10d,gprd,gprd_act,gprd_threat,gprd_ma30,gprd_ma7,event,var_name,var_label,gpr_log
2025-06-13,20250613,576,166.77857971191406,80.2659683227539,267.7989807128906,171.21009826660156,151.1215057373047,Russia / Ukraine Tensions,,,4.385345724430792
2025-06-16,20250616,520,273.92388916015625,177.8199920654297,413.1755981445313,177.453125,207.28903198242188,Russia / Ukraine Tensions,,,5.180771758071631
2025-06-17,20250617,531,293.2027893066406,199.0129547119141,435.7406921386719,182.63638305664065,222.2503356933593,Russia / Ukraine Tensions,,,5.293369921660486
2025-06-18,20250618,537,320.7700500488281,159.89134216308594,482.1663818359375,185.59939575195312,242.73794555664065,Russia / Ukraine Tensions,,,5.074494473052459
2025-06-19,20250619,483,205.7495574951172,177.76739501953125,250.92788696289065,186.88316345214844,248.1092224121093,Russia / Ukraine Tensions,,,5.180475926170994
2025-06-20,20250620,593,284.8919982910156,345.2732238769531,353.0224304199219,188.96487426757807,264.9825744628906,Russia / Ukraine Tensions,,,5.844336056868372
2025-06-23,20250623,509,540.163330078125,583.9163208007812,606.0990600585938,206.8677215576172,291.448974609375,Russia / Ukraine Tensions,,,6.369757686261733
2025-06-24,20250624,518,351.72052001953125,318.76171875,436.0411376953125,213.85153198242188,299.80865478515625,Russia / Ukraine Tensions,,,5.764443860502713
2025-06-25,20250625,595,328.4731140136719,188.7069396972656,462.94183349609375,218.7727966308593,300.9090881347656,Russia / Ukraine Tensions,,,5.24019522804838
2025-06-26,20250626,538,233.9731903076172,171.87063598632812,296.9539489746094,219.7937164306641,304.9410400390625,Russia / Ukraine Tensions,,,5.146742077473489
2025-06-27,20250627,573,231.2438201904297,138.3192138671875,317.272705078125,219.90054321289065,297.2770080566406,Russia / Ukraine Tensions,,,4.929564157923282
2025-06-30,20250630,516,147.65321350097656,89.5992202758789,181.49832153320312,218.0889587402344,214.3917694091797,Russia / Ukraine Tensions,,,4.495346617664882
2025-07-01,20250701,542,189.4642028808593,182.7880706787109,233.77706909179688,219.02505493164065,191.21229553222656,Russia / Ukraine Tensions,,,5.2083273980214
2025-07-02,20250702,553,95.84282684326172,131.37823486328125,99.62039184570312,213.97959899902344,157.97940063476562,Russia / Ukraine Tensions,,,4.878080452020755
2025-07-03,20250703,582,96.75885009765624,113.48355102539062,75.72518920898438,210.36843872070312,138.37734985351562,Russia / Ukraine Tensions,,,4.731657901532405
2025-07-04,20250704,486,156.76760864257812,149.49005126953125,147.36029052734375,209.0263671875,127.73788452148438,Russia / Ukraine Tensions,,,5.007229843924313
2025-07-07,20250707,516,115.55469512939452,76.79933166503906,138.79283142089844,201.46975708007807,114.87539672851562,Russia / Ukraine Tensions,,,4.341195937837624
2025-07-08,20250708,524,151.7206573486328,138.64918518066406,168.21397399902344,203.103271484375,109.48345947265624,Russia / Ukraine Tensions,,,4.931946895237191
2025-07-09,20250709,559,136.29527282714844,59.07641220092773,187.2471160888672,202.80172729492188,115.26237487792967,Russia / Ukraine Tensions,,,4.078831728008198
2025-07-10,20250710,567,146.05677795410156,104.83718872070312,194.32125854492188,201.3878326416016,122.30493927001952,Russia / Ukraine Tensions,,,4.6524085631462615
2025-07-11,20250711,591,134.5205078125,178.80859375,139.82252502441406,199.9599609375,119.12678527832033,Russia / Ukraine Tensions,,,5.186315925063149
2025-07-14,20250714,554,107.62855529785156,71.53150939941406,129.27273559570312,187.66668701171875,120.28243255615234,Russia / Ukraine Tensions,,,4.270138043525142
2025-07-15,20250715,537,166.55368041992188,147.59201049804688,184.65948486328125,187.58224487304688,122.40143585205078,Russia / Ukraine Tensions,,,4.994451781284296
