date,capital,ticker,so_lo,so_co_phieu,gia_hien_tai,so_tien_chi,ty_trong_goc_ppo,ty_trong_thuc_te,used_capital,cash_left,tracking_error
07/07/2026,100000000,VHC,1,100,57800.0,5780000.0,0.0569,0.0578,99643000.0,357000.0,0.551
07/07/2026,100000000,VIX,1,100,16500.0,1650000.0,0.0146,0.0165,99643000.0,357000.0,0.551
07/07/2026,100000000,VSC,1,100,17550.0,1755000.0,0.008,0.0175,99643000.0,357000.0,0.551
08/07/2026,100000000,DBC,1,100,17950.0,1795000.0,0.0128,0.018,99222000.0,778000.0,0.5433
08/07/2026,100000000,DGW,2,200,39450.0,7890000.0,0.0438,0.0789,99222000.0,778000.0,0.5433
08/07/2026,100000000,DXG,2,200,12100.0,2420000.0,0.0209,0.0242,99222000.0,778000.0,0.5433
08/07/2026,100000000,EIB,3,300,20300.0,6090000.0,0.0446,0.0609,99222000.0,778000.0,0.5433
08/07/2026,100000000,HAG,2,200,14800.0,2960000.0,0.0208,0.0296,99222000.0,778000.0,0.5433
08/07/2026,100000000,HDC,3,300,14900.0,4470000.0,0.0396,0.0447,99222000.0,778000.0,0.5433
08/07/2026,100000000,HDG,1,100,19000.0,1900000.0,0.0114,0.019,99222000.0,778000.0,0.5433
08/07/2026,100000000,IMP,3,300,41090.0,12327000.0,0.0931,0.1233,99222000.0,778000.0,0.5433
08/07/2026,100000000,KDC,2,200,49950.0,9990000.0,0.0532,0.0999,99222000.0,778000.0,0.5433
08/07/2026,100000000,KDH,2,200,21000.0,4200000.0,0.03,0.042,99222000.0,778000.0,0.5433
08/07/2026,100000000,MBB,1,100,25000.0,2500000.0,0.0157,0.025,99222000.0,778000.0,0.5433
08/07/2026,100000000,NLG,1,100,25800.0,2580000.0,0.0222,0.0258,99222000.0,778000.0,0.5433
08/07/2026,100000000,NT2,1,100,22100.0,2210000.0,0.0119,0.0221,99222000.0,778000.0,0.5433
08/07/2026,100000000,PDR,3,300,14400.0,4320000.0,0.043,0.0432,99222000.0,778000.0,0.5433
08/07/2026,100000000,SJS,1,100,48000.0,4800000.0,0.0309,0.048,99222000.0,778000.0,0.5433
08/07/2026,100000000,TCH,5,500,14050.0,7025000.0,0.0663,0.0703,99222000.0,778000.0,0.5433
08/07/2026,100000000,VCB,1,100,61150.0,6115000.0,0.0391,0.0612,99222000.0,778000.0,0.5433
08/07/2026,100000000,VGC,2,200,40450.0,8090000.0,0.0519,0.0809,99222000.0,778000.0,0.5433
08/07/2026,100000000,VHC,1,100,58900.0,5890000.0,0.0582,0.0589,99222000.0,778000.0,0.5433
08/07/2026,100000000,VIX,1,100,16500.0,1650000.0,0.0149,0.0165,99222000.0,778000.0,0.5433
09/07/2026,100000000,DBC,1,100,17800.0,1780000.0,0.0125,0.0178,99812000.0,188000.0,0.5972
09/07/2026,100000000,DGW,2,200,38850.0,7770000.0,0.0434,0.0777,99812000.0,188000.0,0.5972
09/07/2026,100000000,DXG,2,200,12000.0,2400000.0,0.0206,0.024,99812000.0,188000.0,0.5972
09/07/2026,100000000,EIB,3,300,20000.0,6000000.0,0.0442,0.06,99812000.0,188000.0,0.5972
09/07/2026,100000000,HAG,2,200,14500.0,2900000.0,0.0206,0.029,99812000.0,188000.0,0.5972
09/07/2026,100000000,HDC,3,300,14650.0,4395000.0,0.0406,0.044,99812000.0,188000.0,0.5972
09/07/2026,100000000,IMP,3,300,40900.0,12270000.0,0.0933,0.1227,99812000.0,188000.0,0.5972
09/07/2026,100000000,KDC,2,200,49950.0,9990000.0,0.0528,0.0999,99812000.0,188000.0,0.5972
09/07/2026,100000000,KDH,2,200,20650.0,4130000.0,0.03,0.0413,99812000.0,188000.0,0.5972
09/07/2026,100000000,MBB,1,100,24600.0,2460000.0,0.0158,0.0246,99812000.0,188000.0,0.5972
09/07/2026,100000000,NLG,1,100,25400.0,2540000.0,0.0216,0.0254,99812000.0,188000.0,0.5972
09/07/2026,100000000,PDR,3,300,14200.0,4260000.0,0.0426,0.0426,99812000.0,188000.0,0.5972
09/07/2026,100000000,SJS,1,100,47800.0,4780000.0,0.0307,0.0478,99812000.0,188000.0,0.5972
09/07/2026,100000000,TCH,5,500,13750.0,6875000.0,0.0656,0.0688,99812000.0,188000.0,0.5972
09/07/2026,100000000,VCB,1,100,60650.0,6065000.0,0.0398,0.0607,99812000.0,188000.0,0.5972
09/07/2026,100000000,VGC,2,200,40260.0,8052000.0,0.0524,0.0805,99812000.0,188000.0,0.5972
09/07/2026,100000000,VHC,2,200,57700.0,11540000.0,0.0589,0.1154,99812000.0,188000.0,0.5972
09/07/2026,100000000,VIX,1,100,16050.0,1605000.0,0.0151,0.016,99812000.0,188000.0,0.5972
10/07/2026,100000000,DBC,1,100,17350.0,1735000.0,0.0134,0.0174,99773000.0,227000.0,0.5511
10/07/2026,100000000,DGW,2,200,38500.0,7700000.0,0.0443,0.077,99773000.0,227000.0,0.5511
10/07/2026,100000000,DXG,2,200,12050.0,2410000.0,0.0207,0.0241,99773000.0,227000.0,0.5511
10/07/2026,100000000,EIB,3,300,19750.0,5925000.0,0.0443,0.0592,99773000.0,227000.0,0.5511
10/07/2026,100000000,HAG,2,200,14650.0,2930000.0,0.0205,0.0293,99773000.0,227000.0,0.5511
10/07/2026,100000000,HDC,3,300,14650.0,4395000.0,0.04,0.044,99773000.0,227000.0,0.5511
10/07/2026,100000000,HDG,1,100,18900.0,1890000.0,0.0113,0.0189,99773000.0,227000.0,0.5511
10/07/2026,100000000,IMP,3,300,40600.0,12180000.0,0.0933,0.1218,99773000.0,227000.0,0.5511
10/07/2026,100000000,KDC,2,200,49900.0,9980000.0,0.0528,0.0998,99773000.0,227000.0,0.5511
10/07/2026,100000000,KDH,2,200,20300.0,4060000.0,0.0311,0.0406,99773000.0,227000.0,0.5511
10/07/2026,100000000,MBB,1,100,24650.0,2465000.0,0.0151,0.0246,99773000.0,227000.0,0.5511
10/07/2026,100000000,NLG,1,100,25000.0,2500000.0,0.0239,0.025,99773000.0,227000.0,0.5511
10/07/2026,100000000,PDR,4,400,14050.0,5620000.0,0.043,0.0562,99773000.0,227000.0,0.5511
10/07/2026,100000000,SJS,1,100,47800.0,4780000.0,0.0317,0.0478,99773000.0,227000.0,0.5511
10/07/2026,100000000,TCH,5,500,13650.0,6825000.0,0.0655,0.0683,99773000.0,227000.0,0.5511
10/07/2026,100000000,VCB,1,100,60060.0,6006000.0,0.0387,0.0601,99773000.0,227000.0,0.5511
10/07/2026,100000000,VGC,2,200,39510.0,7902000.0,0.052,0.079,99773000.0,227000.0,0.5511
10/07/2026,100000000,VHC,1,100,57500.0,5750000.0,0.0574,0.0575,99773000.0,227000.0,0.5511
10/07/2026,100000000,VIX,2,200,15450.0,3090000.0,0.0155,0.0309,99773000.0,227000.0,0.5511
