date,user_tier,capital_tier,ticker,action,shares,price,total_cost,buy_factor_pct
30/03/2026,500M,500000000,VGC,BUY,600,44800.0,26880000.0,100
30/03/2026,500M,500000000,VHC,BUY,600,59300.0,35580000.0,100
30/03/2026,500M,500000000,VIC,BUY,500,129500.0,64750000.0,100
30/03/2026,500M,500000000,VIX,BUY,500,16350.000000000002,8175000.000000001,100
30/03/2026,500M,500000000,VND,BUY,100,15060.0,1506000.0,100
30/03/2026,500M,500000000,VSC,BUY,200,23300.0,4660000.0,100
01/04/2026,50M,50000000,NLG,SELL,100,29290.0,-2929000.0,100
01/04/2026,50M,50000000,MBB,BUY,100,25480.0,2548000.0,100
01/04/2026,250M,250000000,NLG,SELL,100,29290.0,-2929000.0,100
01/04/2026,250M,250000000,HDG,BUY,100,26380.0,2638000.0,100
01/04/2026,500M,500000000,BSI,SELL,100,33700.0,-3370000.0,100
01/04/2026,500M,500000000,NLG,SELL,100,29290.0,-2929000.0,100
01/04/2026,500M,500000000,VIC,SELL,100,141000.0,-14100000.0,100
01/04/2026,500M,500000000,GAS,BUY,100,80000.0,8000000.0,100
01/04/2026,500M,500000000,HDG,BUY,100,26380.0,2638000.0,100
01/04/2026,500M,500000000,MBB,BUY,100,25480.0,2548000.0,100
01/04/2026,500M,500000000,SJS,BUY,100,49000.0,4900000.0,100
01/04/2026,500M,500000000,VSC,BUY,100,24250.0,2425000.0,100
02/04/2026,100M,100000000,NLG,SELL,100,28940.0,-2894000.0,100
02/04/2026,100M,100000000,DXG,BUY,100,12700.0,1270000.0,100
02/04/2026,100M,100000000,VIX,BUY,100,16600.0,1660000.0,100
02/04/2026,500M,500000000,MBB,SELL,100,25290.0,-2529000.0,100
02/04/2026,500M,500000000,VSC,SELL,100,24300.0,-2430000.0,100
02/04/2026,500M,500000000,HDC,BUY,100,16090.0,1609000.0,100
02/04/2026,500M,500000000,VIX,BUY,100,16600.0,1660000.0,100
02/04/2026,500M,500000000,VND,BUY,100,15450.0,1545000.0,100
03/04/2026,50M,50000000,MBB,SELL,100,24950.0,-2495000.0,100
03/04/2026,50M,50000000,NLG,BUY,100,27570.0,2757000.0,100
03/04/2026,100M,100000000,DBC,SELL,100,20100.0,-2010000.0,100
